Game,Game Time,Opening Odds Time,Team,total_category,market_spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Opening Spread Edge,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Current Moneyline,Devigged Probability,Moneyline Edge,Opening Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,Opening Total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,Opening Over Edge,Opening Under Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
Coastal Carolina Chanticleers vs. Georgia Southern Eagles,Jan 01 01:00PM ET,2026-01-01 05:10:06 UTC,Georgia Southern Eagles,3,2.0,2.85,2.5,0.4839657729027816,2.25,-0.0387072581234713,-0.0387072581234713,0.5,2.3,3.0,2.7,3.4,0.4262389380530973,116.0,116.0,0.4424778761061947,-0.0367240249098656,-0.0367240249098656,0.009,0.42,0.41,0.401496071075289,1,157.0,155.01635903016302,156.0,157.0,157.0,1.6,155.0,157.0,155.032718060326,153.07,0.4743585679133448,0.508554996783795,-0.049450955896179,-0.0152545270257288,-0.049450955896179,-0.0152545270257288,1,1,0,0
North Alabama Lions vs. Stetson Hatters,Jan 01 01:00PM ET,2026-01-01 05:10:06 UTC,Stetson Hatters,2,9.5,11.5,10.5,0.4663268053956411,9.5,-0.0574827184138827,-0.0574827184138827,1.2,11.4,10.0,11.6,12.9,0.1707948617863099,374.0,374.0,0.2015897235726198,-0.0403162493248011,-0.0403162493248011,0.035,0.14,0.2,0.137191276734576,2,143.0,144.08000000000004,143.5,143.0,143.0,1.1,142.0,144.0,144.215501303472,144.16000000000005,0.5000014788054652,0.4844431069004852,-0.0238080450040586,-0.0393664169090386,-0.0238080450040586,-0.0393664169090386,1,1,0,0
North Alabama Lions vs. Stetson Hatters,Jan 01 01:00PM ET,2026-01-01 05:10:06 UTC,North Alabama Lions,2,-9.5,-11.5,-10.5,0.5336731946043589,-9.5,0.009863670794835,0.009863670794835,1.2,-11.4,-10.0,-11.6,-12.9,0.82920513821369,-510.0,-510.0,0.7984102764273802,-0.0069152631241026,-0.0069152631241026,0.035,0.86,0.8,0.862808723265424,2,143.0,144.08000000000004,143.5,143.0,143.0,1.1,142.0,144.0,144.215501303472,144.16000000000005,0.5000014788054652,0.4844431069004852,-0.0238080450040586,-0.0393664169090386,-0.0238080450040586,-0.0393664169090386,1,1,0,0
Coastal Carolina Chanticleers vs. Georgia Southern Eagles,Jan 01 01:00PM ET,2026-01-01 05:10:06 UTC,Coastal Carolina Chanticleers,3,-2.0,-2.85,-2.5,0.5160342270972185,-2.25,-0.0077752967123053,-0.0077752967123053,0.5,-2.3,-3.0,-2.7,-3.4,0.5737610619469027,-140.0,-140.0,0.5575221238938054,-0.0095722713864306,-0.0095722713864306,0.009,0.58,0.59,0.598503928924711,1,157.0,155.01635903016302,156.0,157.0,157.0,1.6,155.0,157.0,155.032718060326,153.07,0.4743585679133448,0.508554996783795,-0.049450955896179,-0.0152545270257288,-0.049450955896179,-0.0152545270257288,1,1,0,0
Youngstown St Penguins vs. Oakland Golden Grizzlies,Jan 01 01:00PM ET,2026-01-01 05:10:06 UTC,Oakland Golden Grizzlies,3,0.5,2.35,1.0,0.4839657729027816,0.5,-0.0398437509067422,-0.0398437509067422,1.6,4.6,1.0,3.1,1.6,0.4394990664310173,-108.0,-108.0,0.4925753075943997,-0.0797317027997519,-0.0797317027997519,0.066,0.3399999999999999,0.47,0.386422825267635,1,156.5,159.03,157.5,156.5,156.5,1.3,160.0,159.0,156.875177914113,159.06,0.5170982144352251,0.4829017855647749,-0.0067113093742987,-0.0409077382447489,-0.0067113093742987,-0.0409077382447489,1,1,1,0
Youngstown St Penguins vs. Oakland Golden Grizzlies,Jan 01 01:00PM ET,2026-01-01 05:10:06 UTC,Youngstown St Penguins,3,-0.5,-2.35,-1.0,0.5160342270972185,-0.5,-0.0077752967123053,-0.0077752967123053,1.6,-4.6,-1.0,-3.1,-1.6,0.5605009335689826,-115.0,-115.0,0.5074246924056003,0.02561721263875,0.02561721263875,0.066,0.66,0.53,0.613577174732365,1,156.5,159.03,157.5,156.5,156.5,1.3,160.0,159.0,156.875177914113,159.06,0.5170982144352251,0.4829017855647749,-0.0067113093742987,-0.0409077382447489,-0.0067113093742987,-0.0409077382447489,1,1,1,0
VMI Keydets vs. Samford Bulldogs,Jan 01 01:00PM ET,2026-01-01 05:10:06 UTC,VMI Keydets,3,5.0,3.25,4.5,0.5160342270972185,5.25,-0.0177653067023153,-0.0177653067023153,2.1,1.0,4.0,2.5,6.0,0.3800827497244834,170.0,170.0,0.3534777651083238,0.009712379354113,0.009712379354113,0.045,0.4599999999999999,0.37,0.406687734340643,2,150.5,149.55237959098753,150.0,150.5,150.5,2.2,147.0,152.0,150.684759181975,148.42000000000002,0.49222081404751,0.5077791859524899,-0.0382956178773726,-0.0044159359987295,-0.0382956178773726,-0.0044159359987295,0,1,0,0
VMI Keydets vs. Samford Bulldogs,Jan 01 01:00PM ET,2026-01-01 05:10:06 UTC,Samford Bulldogs,3,-5.0,-3.25,-4.5,0.4839657729027816,-5.25,-0.0282293490484379,-0.0282293490484379,2.1,-1.0,-4.0,-2.5,-6.0,0.6199172502755166,-210.0,-210.0,0.6465222348916762,-0.057502104563193,-0.057502104563193,0.045,0.54,0.63,0.593312265659357,2,150.5,149.55237959098753,150.0,150.5,150.5,2.2,147.0,152.0,150.684759181975,148.42000000000002,0.49222081404751,0.5077791859524899,-0.0382956178773726,-0.0044159359987295,-0.0382956178773726,-0.0044159359987295,0,1,0,0
North Dakota Fighting Hawks vs. Oral Roberts Golden Eagles,Jan 01 02:00PM ET,2026-01-01 05:10:06 UTC,North Dakota Fighting Hawks,3,-2.0,-2.1,-2.0,0.5,-2.0,-0.0238095238095238,-0.0238095238095238,0.8,-2.5,-1.0,-1.7,-2.7,0.5600982312565039,-140.0,-140.0,0.5563770794824399,-0.0232351020768294,-0.0232351020768294,0.04,0.6,0.52,0.563819383030568,1,147.5,148.776261078927,148.0,147.5,147.5,3.8,147.0,151.0,150.552522157854,142.70999999999998,0.5085510713084638,0.4914489286915363,-0.01525845250106,-0.0323605951179875,-0.01525845250106,-0.0323605951179875,0,0,0,0
Central Arkansas Bears vs. Florida Gulf Coast Eagles,Jan 01 02:00PM ET,2026-01-01 05:10:06 UTC,Central Arkansas Bears,3,2.0,-1.35,0.5,0.547999242711806,2.0,0.0241897189022821,0.0241897189022821,2.2,-1.9,1.0,-0.8,-4.3,0.4885861784942275,112.0,112.0,0.4476659205567991,0.0179328008641057,0.0179328008641057,0.045,0.57,0.48,0.529506436431656,1,158.5,154.07109287670102,156.5,158.5,158.5,1.9,156.0,155.0,153.142185753402,151.72,0.4658349641191438,0.5341650358808562,-0.05797455969038,0.0103555120713323,-0.05797455969038,0.0103555120713323,0,1,0,1
