Game,Game Time,Opening Odds Time,Team,total_category,market_spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Opening Spread Edge,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Current Moneyline,Devigged Probability,Moneyline Edge,Opening Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,Opening Total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,Opening Over Edge,Opening Under Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
Toledo Rockets vs. Miami (OH) RedHawks,Jan 09 06:00PM ET,2026-01-08 18:25:29 UTC,Toledo Rockets,3.0,1.5,3.25,2.0,0.4839657729027816,1.0,-0.0398437509067422,-0.0512733324418667,0.9,1.9,3.0,3.5,4.0,0.4364510231762694,115.0,102.0,0.4729020463525388,-0.0574514158481208,0.0,0.034,0.4399999999999999,0.4,0.37298645116706,1,163.5,165.22,164.0,164.0,163.5,0.7,166.0,165.0,164.397023908457,165.44,0.5085510713084638,0.4914489286915363,-0.01525845250106,-0.0323605951179875,-0.0327083162829804,-0.0269041000947037,1,1,1,0
Toledo Rockets vs. Miami (OH) RedHawks,Jan 09 06:00PM ET,2026-01-08 18:25:29 UTC,Miami (OH) RedHawks,3.0,-1.5,-3.25,-2.0,0.5160342270972185,-1.0,-0.0031965421335508,0.0128117939803281,0.9,-1.9,-3.0,-3.5,-4.0,0.5635489768237306,-140.0,-122.0,0.5270979536474613,0.0130439263186801,0.0,0.034,0.56,0.6,0.62701354883294,1,163.5,165.22,164.0,164.0,163.5,0.7,166.0,165.0,164.397023908457,165.44,0.5085510713084638,0.4914489286915363,-0.01525845250106,-0.0323605951179875,-0.0327083162829804,-0.0269041000947037,1,1,1,0
Siena Saints vs. Merrimack Warriors,Jan 09 07:00PM ET,2026-01-08 18:25:29 UTC,Siena Saints,1.0,-6.0,-7.0,-6.5,0.5173678180739623,-5.5,-0.0064417057355615,0.0154719658609231,1.0,-7.2,-6.0,-6.8,-8.3,0.7214164618126144,-275.0,-260.0,0.6912521440823327,-0.0008057604096077,0.0,0.035,0.79,0.72,0.751580779542896,2,135.5,131.39499999999998,134.0,132.0,135.5,1.5,129.0,132.0,132.400586411775,130.79,0.4766742692132684,0.5233257307867316,-0.0425565000175008,-0.0049761560057212,-0.0370879935779836,-0.0215296216730037,0,1,0,1
Siena Saints vs. Merrimack Warriors,Jan 09 07:00PM ET,2026-01-08 18:25:29 UTC,Merrimack Warriors,1.0,6.0,7.0,6.5,0.4826321819260377,5.5,-0.0411773418834861,-0.0539335043224616,1.0,7.2,6.0,6.8,8.3,0.2785835381873856,220.0,210.0,0.3087478559176672,-0.0439971069739046,0.0,0.035,0.2099999999999999,0.28,0.248419220457104,2,135.5,131.39499999999998,134.0,132.0,135.5,1.5,129.0,132.0,132.400586411775,130.79,0.4766742692132684,0.5233257307867316,-0.0425565000175008,-0.0049761560057212,-0.0370879935779836,-0.0215296216730037,0,1,0,1
Mt. St. Mary's Mountaineers vs. Saint Peter's Peacocks,Jan 09 07:00PM ET,2026-01-08 18:25:29 UTC,Mt. St. Mary's Mountaineers,1.0,-1.0,0.0,-0.5,0.4826321819260377,-1.5,-0.0319309248700788,-0.0073891625615764,1.8,-1.2,1.0,-1.0,2.5,0.522554949924203,-125.0,-112.0,0.505415721064576,-0.0067916724456751,0.0,0.032,0.55,0.49,0.53969417878383,1,137.5,137.0,137.5,137.0,137.5,2.2,137.0,137.0,137.043496679406,132.58999999999995,0.5,0.5,-0.0238095238095238,-0.0238095238095238,-0.0386312790045451,-0.0215291363876175,0,0,0,1
Mt. St. Mary's Mountaineers vs. Saint Peter's Peacocks,Jan 09 07:00PM ET,2026-01-08 18:25:29 UTC,Saint Peter's Peacocks,1.0,1.0,0.0,0.5,0.5173678180739623,1.5,-0.0064417057355615,-0.0305164319248826,1.8,1.2,-1.0,1.0,-2.5,0.4774450500757969,105.0,-107.0,0.4945842789354239,-0.0405572728045746,0.0,0.032,0.4499999999999999,0.51,0.46030582121617,1,137.5,137.0,137.5,137.0,137.5,2.2,137.0,137.0,137.043496679406,132.58999999999995,0.5,0.5,-0.0238095238095238,-0.0238095238095238,-0.0386312790045451,-0.0215291363876175,0,0,0,1
Iona Gaels vs. Niagara Purple Eagles,Jan 09 07:00PM ET,2026-01-08 18:25:29 UTC,Iona Gaels,2.0,-11.0,-15.3,-12.5,0.5504348160326231,-13.0,0.0155510951023906,0.0430456534710467,1.4,-16.5,-14.0,-14.1,-16.5,0.8750621834615598,-1500.0,-710.0,0.8402338041889916,-0.0014622067823425,0.0,0.015,0.93,0.9,0.909890562734128,3,141.5,143.425,142.5,142.0,141.5,1.0,142.0,144.0,144.062224908337,142.85000000000002,0.5150432125615789,0.4849567874384211,-0.0087663112479449,-0.0388527363711027,-0.021529763037255,-0.0365756504812615,1,1,1,0
Green Bay Phoenix vs. IUPUI Jaguars,Jan 09 07:00PM ET,2026-01-08 18:25:29 UTC,Green Bay Phoenix,3.0,-8.0,-10.0,-9.0,0.5320425632110974,-7.5,0.0082330394015736,0.0128117939803281,1.7,-13.3,-10.0,-9.7,-10.0,0.7875735622133795,-400.0,-367.0,0.755147124426759,0.0015323722820292,0.0,0.019,0.85,0.82,0.814022508936973,2,162.0,166.245,163.5,164.5,162.0,1.8,169.0,166.0,164.766451849057,166.49,0.5155598439676844,0.468908382394221,-0.0082496798418394,-0.0549011414153028,-0.0059756861844191,-0.0370865147725185,1,1,1,0
Fairfield Stags vs. Rider Broncs,Jan 09 07:00PM ET,2026-01-08 18:25:29 UTC,Fairfield Stags,2.0,-8.5,-9.45,-9.0,0.5168516246190507,-8.5,-0.0069578991904731,-0.0023791446117186,2.6,-9.9,-9.0,-8.1,-13.9,0.7781775700934579,-450.0,-400.0,0.7663551401869159,-0.0218224299065421,0.0,0.025,0.83,0.79,0.784282210004734,2,144.5,143.135,144.0,141.5,144.5,0.5,144.0,143.0,142.983538827553,143.26999999999998,0.49222081404751,0.5077791859524899,-0.0315887097620138,-0.0160303378570338,-0.0137519145259787,-0.0293102864309588,0,1,0,1
Fairfield Stags vs. Rider Broncs,Jan 09 07:00PM ET,2026-01-08 18:25:29 UTC,Rider Broncs,2.0,8.5,9.45,9.0,0.4831483753809493,8.5,-0.0406611484285745,-0.0360823938498199,2.6,9.9,9.0,8.1,13.9,0.221822429906542,350.0,310.0,0.2336448598130841,-0.0220800091178481,0.0,0.025,0.17,0.21,0.215717789995266,2,144.5,143.135,144.0,141.5,144.5,0.5,144.0,143.0,142.983538827553,143.26999999999998,0.49222081404751,0.5077791859524899,-0.0315887097620138,-0.0160303378570338,-0.0137519145259787,-0.0293102864309588,0,1,0,1
