Game,Game Time,Team,total_category,market_spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Devigged Probability,Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
Kentucky Wildcats vs. Gonzaga Bulldogs,Dec 05 07:00PM ET,Kentucky Wildcats,3,5.0,1.4,3.5,0.547999242711806,5.0,0.0230586251346088,3.5,1.8,1.0,5.1,-3.3,0.3805465507017196,188.0,0.3310931014034393,0.0333243284794974,0.073,0.43,0.47,0.328289457116756,2,159.5,155.5,158.0,159.5,1.9,156.0,155.0,158.302399359771,153.75,0.4766742692132684,0.5233257307867316,-0.0471352545962554,-0.0004837930227922,0,0,0,1
Saint Peter's Peacocks vs. Canisius Golden Griffins,Dec 05 07:00PM ET,Canisius Golden Griffins,1,8.5,6.3,7.5,0.5347027350916924,8.5,0.0030868100331443,1.2,6.5,4.0,6.7,6.1,0.2536972759963318,290.0,0.2451612903225806,-0.0027129804139245,0.053,0.24,0.3399999999999999,0.262233261670083,2,133.5,132.090117096952,133.0,133.5,2.3,131.0,132.0,132.180234193904,136.28,0.49222081404751,0.5077791859524899,-0.0315887097620138,-0.0160303378570338,1,0,0,0
Saint Peter's Peacocks vs. Canisius Golden Griffins,Dec 05 07:00PM ET,Saint Peter's Peacocks,1,-8.5,-6.3,-7.5,0.4652972649083076,-8.5,-0.0468978570429119,1.2,-6.5,-4.0,-6.7,-6.1,0.7463027240036681,-375.0,0.7548387096774194,-0.0431709602068581,0.053,0.76,0.66,0.737766738329917,2,133.5,132.090117096952,133.0,133.5,2.3,131.0,132.0,132.180234193904,136.28,0.49222081404751,0.5077791859524899,-0.0315887097620138,-0.0160303378570338,1,0,0,0
Lafayette Leopards vs. Mercyhurst Lakers,Dec 05 07:00PM ET,Mercyhurst Lakers,1,-1.0,1.9,0.0,0.4652972649083076,-1.0,-0.0420918976532688,1.3,3.9,1.0,2.4,1.4,0.454719154837837,-110.0,0.5,-0.0690903689716868,0.07,0.3299999999999999,0.47,0.409438309675674,1,131.5,132.49725103736347,132.0,131.5,0.4,132.0,133.0,132.344502074727,132.64999999999998,0.5085510713084638,0.4914489286915363,-0.0175152794024366,-0.0323605951179875,0,1,1,0
Lafayette Leopards vs. Mercyhurst Lakers,Dec 05 07:00PM ET,Lafayette Leopards,1,1.0,-1.9,-0.0,0.5347027350916924,1.0,0.0041863031668097,1.3,-3.9,-1.0,-2.4,-1.4,0.545280845162163,-110.0,0.5,0.0214713213526391,0.07,0.67,0.53,0.590561690324326,1,131.5,132.49725103736347,132.0,131.5,0.4,132.0,133.0,132.344502074727,132.64999999999998,0.5085510713084638,0.4914489286915363,-0.0175152794024366,-0.0323605951179875,0,1,1,0
Manhattan Jaspers vs. Fairfield Stags,Dec 05 07:00PM ET,Fairfield Stags,3,-1.5,2.2,-0.0,0.452000757288194,-1.5,-0.0672300119425752,2.0,5.6,1.0,1.9,2.5,0.4766860774092816,-122.0,0.5236051502145922,-0.072863472140268,0.092,0.31,0.49,0.429767004603971,1,156.0,157.450826840121,156.5,156.0,2.2,158.0,161.0,156.901653680242,156.0,0.5000019640908513,0.4828998214739237,-0.0238075597186725,-0.0409097023356001,0,1,0,0
Manhattan Jaspers vs. Fairfield Stags,Dec 05 07:00PM ET,Manhattan Jaspers,3,1.5,-2.2,0.0,0.547999242711806,1.5,0.0196973559193531,2.0,-5.6,-1.0,-1.9,-2.5,0.5233139225907183,-100.0,0.4763948497854076,0.0233139225907182,0.092,0.69,0.51,0.570232995396029,1,156.0,157.450826840121,156.5,156.0,2.2,158.0,161.0,156.901653680242,156.0,0.5000019640908513,0.4828998214739237,-0.0238075597186725,-0.0409097023356001,0,1,0,0
Bethune-Cookman Wildcats vs. South Carolina St Bulldogs,Dec 05 07:00PM ET,South Carolina St Bulldogs,3,10.5,12.45,11.5,0.4679574367889025,10.5,-0.0558520870206213,2.9,13.1,10.0,11.8,16.8,0.1656695376434279,425.0,0.1818181818181818,-0.0248066528327625,0.025,0.12,0.17,0.149520893468674,3,147.75,150.309022186662,149.0,147.75,1.4,151.0,148.0,150.988044373324,149.63,0.5075256171779651,0.4774391920548073,-0.0218861475279172,-0.0394690205055791,0,1,1,0
Bethune-Cookman Wildcats vs. South Carolina St Bulldogs,Dec 05 07:00PM ET,Bethune-Cookman Wildcats,3,-10.5,-12.45,-11.5,0.5320425632110974,-10.5,0.0082330394015736,2.9,-13.1,-10.0,-11.8,-16.8,0.8343304623565722,-600.0,0.8181818181818182,-0.0228123947862849,0.025,0.88,0.83,0.850479106531326,3,147.75,150.309022186662,149.0,147.75,1.4,151.0,148.0,150.988044373324,149.63,0.5075256171779651,0.4774391920548073,-0.0218861475279172,-0.0394690205055791,0,1,1,0
Brown Bears vs. Bryant Bulldogs,Dec 05 07:00PM ET,Bryant Bulldogs,1,5.5,5.45,5.5,0.5,5.5,-0.0145631067961164,0.8,4.7,5.0,6.5,5.9,0.3107839957239089,197.0,0.3215679914478178,-0.0253741963664865,0.04,0.3,0.35,0.270015909938999,2,127.5,129.27478564855352,128.0,127.5,2.5,125.0,129.0,129.549571297107,130.8,0.50777918595249,0.49222081404751,-0.0216325787533923,-0.0293102864309588,0,0,0,0
