Game,Game Time,Team,total_category,market_spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Opening Spread Edge,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Devigged Probability,Moneyline Edge,Opening Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,Opening Total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,Opening Over Edge,Opening Under Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
Baylor Bears vs. Southern Jaguars,Dec 21 01:00PM ET,Baylor Bears,3,-25.5,-21.9,-24.0,0.452000757288194,-24.5,-0.0718087665213298,-0.0774971086656429,1.6,-21.8,-22.0,-21.8,-25.1,0.9685341996611818,-10000.0,0.9626064420584968,-0.0215648102398082,-0.0189599873185443,0.027,0.93,0.98,0.974461957263867,3,164.0,165.805,164.5,162.5,164.0,3.2,172.0,166.0,165.074210901837,165.61,0.5000013374412138,0.4849554499972073,-0.0271854237881006,-0.0331168391594192,-0.0123255864410015,-0.0347532564404505,1,0,1,0
Marist Red Foxes vs. Stony Brook Seawolves,Dec 21 01:00PM ET,Marist Red Foxes,1,-4.5,-5.75,-5.0,0.5173678180739623,-4.5,-0.0064417057355615,-0.001862951156807,1.0,-5.5,-6.0,-7.6,-5.4,0.6832611174458381,-205.0,0.6465222348916762,0.0058417626071284,0.0102334418591329,0.036,0.72,0.7,0.769588806211071,2,136.5,134.0,135.5,135.0,136.5,0.5,134.0,134.0,134.554978862557,133.43,0.4844445857059503,0.5155554142940497,-0.0393649381035735,-0.0082541095154741,-0.0460733250243974,-0.0121936431457544,1,1,0,1
Marist Red Foxes vs. Stony Brook Seawolves,Dec 21 01:00PM ET,Stony Brook Seawolves,1,4.5,5.75,5.0,0.4826321819260377,4.5,-0.0411773418834861,-0.0411773418834861,1.0,5.5,6.0,7.6,5.4,0.3167388825541619,170.0,0.3534777651083238,-0.0536314878162084,-0.0527349597704868,0.036,0.28,0.3,0.230411193788929,2,136.5,134.0,135.5,135.0,136.5,0.5,134.0,134.0,134.554978862557,133.43,0.4844445857059503,0.5155554142940497,-0.0393649381035735,-0.0082541095154741,-0.0460733250243974,-0.0121936431457544,1,1,0,1
Monmouth Hawks vs. Lehigh Mountain Hawks,Dec 21 01:00PM ET,Lehigh Mountain Hawks,2,7.5,7.1,7.5,0.5,7.25,-0.0348837209302325,-0.0238095238095238,1.2,8.8,7.0,7.2,6.0,0.2620479699142436,250.0,0.2768304914744233,-0.0278679964723109,-0.0264084139154501,0.041,0.1899999999999999,0.27,0.247265448354064,2,144.5,143.09788339182052,144.0,144.5,144.5,1.2,143.0,145.0,143.195766783641,142.16,0.49222081404751,0.5077791859524899,-0.0315887097620138,-0.0160303378570338,-0.0293102864309588,-0.0160303378570338,0,1,0,0
Hofstra Pride vs. Quinnipiac Bobcats,Dec 21 01:00PM ET,Hofstra Pride,3,-6.5,-5.6,-6.0,0.4839657729027816,-6.5,-0.0398437509067422,-0.0509179480274509,1.7,-5.0,-6.0,-5.2,-8.7,0.6925649809588199,-275.0,0.6962261320532328,-0.0352127968189578,-0.0385303703527318,0.01,0.68,0.7,0.688903829864407,2,148.5,149.5,149.0,148.0,148.5,1.3,149.0,150.0,147.755535780401,150.74,0.50777918595249,0.49222081404751,-0.0160303378570337,-0.0315887097620138,-0.019229290425304,-0.0393664169090386,0,0,0,0
Baylor Bears vs. Southern Jaguars,Dec 21 01:00PM ET,Southern Jaguars,3,25.5,21.9,24.0,0.547999242711806,24.5,0.0241897189022821,0.0270920681615924,1.6,21.8,22.0,21.8,25.1,0.0314658003388179,3000.0,0.0373935579415031,-0.0069957381227204,-0.0033970870985747,0.027,0.0699999999999999,0.02,0.0255380427361328,3,164.0,165.805,164.5,162.5,164.0,3.2,172.0,166.0,165.074210901837,165.61,0.5000013374412138,0.4849554499972073,-0.0271854237881006,-0.0331168391594192,-0.0123255864410015,-0.0347532564404505,1,0,1,0
Monmouth Hawks vs. Lehigh Mountain Hawks,Dec 21 01:00PM ET,Monmouth Hawks,2,-7.5,-7.1,-7.5,0.5,-7.25,-0.0121951219512195,-0.0192307692307692,1.2,-8.8,-7.0,-7.2,-6.0,0.7379520300857564,-325.0,0.7231695085255768,-0.0194009110907141,-0.0240117541517765,0.041,0.81,0.73,0.752734551645936,2,144.5,143.09788339182052,144.0,144.5,144.5,1.2,143.0,145.0,143.195766783641,142.16,0.49222081404751,0.5077791859524899,-0.0315887097620138,-0.0160303378570338,-0.0293102864309588,-0.0160303378570338,0,1,0,0
Hofstra Pride vs. Quinnipiac Bobcats,Dec 21 01:00PM ET,Quinnipiac Bobcats,3,6.5,5.6,6.0,0.5160342270972185,6.5,-0.0077752967123053,0.0038391051459989,1.7,5.0,6.0,5.2,8.7,0.3074350190411801,220.0,0.3037738679467672,-0.010105303539465,-0.0073029629806015,0.01,0.3199999999999999,0.3,0.311096170135593,2,148.5,149.5,149.0,148.0,148.5,1.3,149.0,150.0,147.755535780401,150.74,0.50777918595249,0.49222081404751,-0.0160303378570337,-0.0315887097620138,-0.019229290425304,-0.0393664169090386,0,0,0,0
NC State Wolfpack vs. Ole Miss Rebels,Dec 21 01:00PM ET,Ole Miss Rebels,3,6.5,5.65,6.0,0.5160342270972185,6.0,-0.0077752967123053,-0.0073891625615764,1.1,5.3,6.0,5.2,7.5,0.3041006626696119,235.0,0.2982013253392238,-0.0083993373303881,0.0,0.018,0.31,0.28,0.311869100974334,2,145.75,151.26,148.0,150.0,145.75,1.4,153.0,152.0,149.825035128888,150.51999999999998,0.5233316291629,0.4611572532986117,-0.0004778946466238,-0.0626522705109121,-0.0215296216730036,-0.0370879935779836,0,0,1,0
NC State Wolfpack vs. Ole Miss Rebels,Dec 21 01:00PM ET,NC State Wolfpack,3,-6.5,-5.65,-6.0,0.4839657729027816,-6.0,-0.0398437509067422,-0.0305164319248826,1.1,-5.3,-6.0,-5.2,-7.5,0.6958993373303881,-295.0,0.7017986746607764,-0.0395503981193473,0.0,0.018,0.69,0.72,0.688130899025666,2,145.75,151.26,148.0,150.0,145.75,1.4,153.0,152.0,149.825035128888,150.51999999999998,0.5233316291629,0.4611572532986117,-0.0004778946466238,-0.0626522705109121,-0.0215296216730036,-0.0370879935779836,0,0,1,0
