Home Team,Away Team,Team,Game Date,spread_kenpom,win_prob_kenpom,projected_total_kenpom
New Orleans,Incarnate Word,Incarnate Word,20251208,1,0.45,153
New Orleans,Incarnate Word,New Orleans,20251208,-1,0.55,153
Southern Miss,Grambling St.,Grambling St.,20251208,7,0.27,143
Southern Miss,Grambling St.,Southern Miss,20251208,-7,0.73,143
Penn,Lafayette,Lafayette,20251208,8,0.22,152
Penn,Lafayette,Penn,20251208,-8,0.78,152
Charleston Southern,South Carolina St.,South Carolina St.,20251208,9,0.21,151
Charleston Southern,South Carolina St.,Charleston Southern,20251208,-9,0.79,151
Texas,Southern,Southern,20251208,16,0.07,156
Texas,Southern,Texas,20251208,-16,0.93,156
Kansas St.,Mississippi Valley St.,Mississippi Valley St.,20251208,34,0.0009999999999999432,154
Kansas St.,Mississippi Valley St.,Kansas St.,20251208,-34,0.9990000000000001,154
Connecticut,Florida,Florida,20251209,3,0.37,147
Connecticut,Florida,Connecticut,20251209,-3,0.63,147
Ohio St.,Illinois,Illinois,20251209,-2,0.58,156
Ohio St.,Illinois,Ohio St.,20251209,2,0.42,156
Clemson,BYU,BYU,20251209,-5,0.67,153
Clemson,BYU,Clemson,20251209,5,0.33,153
Rhode Island,McNeese,McNeese,20251209,-1,0.51,143
Rhode Island,McNeese,Rhode Island,20251209,1,0.49,143
Michigan,Villanova,Villanova,20251209,15,0.09,147
Michigan,Villanova,Michigan,20251209,-15,0.91,147
Indiana,Penn St.,Penn St.,20251209,12,0.15,152
Indiana,Penn St.,Indiana,20251209,-12,0.85,152
Stony Brook,Columbia,Columbia,20251209,-4,0.64,146
Stony Brook,Columbia,Stony Brook,20251209,4,0.36,146
UMBC,Buffalo,Buffalo,20251209,-1,0.52,149
UMBC,Buffalo,UMBC,20251209,1,0.48,149
VMI,Loyola MD,Loyola MD,20251209,-1,0.5,151
VMI,Loyola MD,VMI,20251209,1,0.5,151
Rider,Bucknell,Bucknell,20251209,-1,0.51,139
