Game,Game Time,Opening Odds Time,Team,total_category,market_spread,Consensus Spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Opening Spread Edge,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Current Moneyline,Devigged Probability,Moneyline Edge,Opening Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,Opening Total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,Opening Over Edge,Opening Under Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
Baylor Bears vs. Oklahoma Sooners,Apr 04 01:30PM ET,2026-04-02 17:46:56 UTC,Baylor Bears,3,1.5,1.5,1.5,1.5,0.5,,-0.0412844036697247,,0.5,1.0,,2.0,1.5,0.4639209302628789,,-102,0.4826358742837298,-0.041029564786626,,0.035,0.47,,0.420411972484056,1,157.5,157.750467285713,157.5,,157.5,4.8,165.0,,157.750467285713,155.94,0.5,0.5,-0.0348837209302325,-0.0121951219512195,,,0,0,0,0
Baylor Bears vs. Oklahoma Sooners,Apr 04 01:30PM ET,2026-04-02 17:46:56 UTC,Oklahoma Sooners,3,-1.5,-1.5,-1.5,-1.5,0.5,,-0.0098039215686274,,0.5,-1.0,,-2.0,-1.5,0.536079069737121,,-118,0.5173641257162701,-0.0052053339326036,,0.035,0.53,,0.579588027515944,1,157.5,157.750467285713,157.5,,157.5,4.8,165.0,,157.750467285713,155.94,0.5,0.5,-0.0348837209302325,-0.0121951219512195,,,0,0,0,0
Creighton Bluejays vs. West Virginia Mountaineers,Apr 04 04:00PM ET,2026-04-03 13:28:38 UTC,Creighton Bluejays,1,1.5,1.5,1.5,1.5,0.5,,-0.0412844036697247,,0.4,1.5,,1.2,1.9,0.4643197199708179,,-104,0.4879965080750763,-0.0454842015978095,,0.015,0.43,,0.451285863733119,1,133.5,134.0,133.5,,133.5,0.4,134.0,,134.645843740061,133.83999999999995,0.5,0.5,-0.0348837209302325,-0.0121951219512195,,,0,0,0,0
Creighton Bluejays vs. West Virginia Mountaineers,Apr 04 04:00PM ET,2026-04-03 13:28:38 UTC,West Virginia Mountaineers,1,-1.5,-1.5,-1.5,-1.5,0.5,,-0.0098039215686274,,0.4,-1.5,,-1.2,-1.9,0.535680280029182,,-115,0.5120034919249236,0.0007965590989494,,0.015,0.57,,0.548714136266881,1,133.5,134.0,133.5,,133.5,0.4,134.0,,134.645843740061,133.83999999999995,0.5,0.5,-0.0348837209302325,-0.0121951219512195,,,0,0,0,0
UConn Huskies vs. Illinois Fighting Illini,Apr 04 06:09PM ET,2026-03-30 03:02:10 UTC,UConn Huskies,2,1.5,1.5,2.8,2.0,0.4831483753809493,1.5,-0.0290467465702702,-0.0233782604384206,2.4,2.8,,0.3,5.0,0.4479407026661034,114.0,110,0.4572564612326044,-0.0282497735243727,-0.0089397976076098,0.069,0.39,,0.487249888199205,1,139.5,142.0,140.5,139.5,139.5,1.4,142.0,,143.294192571622,140.54,0.5170982144352251,0.4829017855647749,-0.0089681362756753,-0.0386293149136939,0.0103555120713323,-0.05797455969038,0,0,0,0
UConn Huskies vs. Illinois Fighting Illini,Apr 04 06:09PM ET,2026-03-30 03:02:10 UTC,Illinois Fighting Illini,2,-1.5,-1.5,-2.8,-2.0,0.5168516246190507,-1.5,-0.0180320963111818,-0.0254511332185593,2.4,-2.8,,-0.3,-5.0,0.5520592973338966,-135.0,-130,0.5427435387673957,-0.0131580939704512,-0.0317312868467414,0.069,0.61,,0.512750111800795,1,139.5,142.0,140.5,139.5,139.5,1.4,142.0,,143.294192571622,140.54,0.5170982144352251,0.4829017855647749,-0.0089681362756753,-0.0386293149136939,0.0103555120713323,-0.05797455969038,0,0,0,0
Arizona Wildcats vs. Michigan Wolverines,Apr 04 08:49PM ET,2026-03-29 22:24:43 UTC,Arizona Wildcats,3,1.5,1.5,2.0,1.5,0.5,1.5,-0.031615925058548,-0.0314770851199761,1.5,0.3,,3.2,2.0,0.4556220226853517,-105.0,101,0.476088031891677,-0.0419027297898958,-0.0316736911977009,0.078,0.49,,0.380312026958053,1,157.5,160.717528190777,159.0,157.5,157.5,3.2,161.0,,160.717528190777,155.38,0.5256375066113239,0.4743624933886761,0.0018279828018,-0.0494470304208477,-0.0009740747214014,-0.0465099791411074,0,0,0,0
Arizona Wildcats vs. Michigan Wolverines,Apr 04 08:49PM ET,2026-03-29 22:24:43 UTC,Michigan Wolverines,3,-1.5,-1.5,-2.0,-1.5,0.5,-1.5,-0.0157384987893463,-0.0160342270972184,1.5,-0.3,,-3.2,-2.0,0.5443779773146483,-115.0,-121,0.5239119681083231,-0.0031240701873992,-0.0154051516837511,0.078,0.51,,0.619687973041947,1,157.5,160.717528190777,159.0,157.5,157.5,3.2,161.0,,160.717528190777,155.38,0.5256375066113239,0.4743624933886761,0.0018279828018,-0.0494470304208477,-0.0009740747214014,-0.0465099791411074,0,0,0,0
Auburn Tigers vs. Tulsa Golden Hurricane,Apr 05 08:00PM ET,2026-04-03 13:54:05 UTC,Auburn Tigers,3,-5.5,-5.5,-4.5,-5.0,0.4839657729027816,-5.5,-0.0282293490484379,-0.0282293490484379,0.7,-3.4,,-4.5,-4.7,0.6519521441971743,-225.0,-220,0.6581196581196581,-0.0355478558028257,-0.037758746466468,0.036,0.62,,0.671569260549381,2,160.5,159.192471019825,160.0,160.5,160.5,4.7,167.0,,159.192471019825,158.54000000000002,0.49222081404751,0.5077791859524899,-0.0315887097620138,-0.0160303378570338,-0.0315887097620138,-0.0160303378570338,0,0,0,0
Auburn Tigers vs. Tulsa Golden Hurricane,Apr 05 08:00PM ET,2026-04-03 13:54:05 UTC,Tulsa Golden Hurricane,3,5.5,5.5,4.5,5.0,0.5160342270972185,5.5,-0.018849493833014,-0.018849493833014,0.7,3.4,,4.5,4.7,0.3480478558028257,185.0,180,0.3418803418803419,-0.0090950013400314,-0.0054261388236802,0.036,0.38,,0.328430739450619,2,160.5,159.192471019825,160.0,160.5,160.5,4.7,167.0,,159.192471019825,158.54000000000002,0.49222081404751,0.5077791859524899,-0.0315887097620138,-0.0160303378570338,-0.0315887097620138,-0.0160303378570338,0,0,0,0
